2016-09-01	2016	201609	20160901	0	2016-09-01
2016-09-02	2016	201609	20160902	0	2016-09-02
2016-09-03	2016	201609	20160903	2	2016-09-03
2016-09-04	2016	201609	20160904	2	2016-09-04
2016-09-05	2016	201609	20160905	0	2016-09-05
2016-09-06	2016	201609	20160906	0	2016-09-06
2016-09-07	2016	201609	20160907	0	2016-09-07
2016-09-08	2016	201609	20160908	0	2016-09-08
2016-09-09	2016	201609	20160909	0	2016-09-09
2016-09-10	2016	201609	20160910	2	2016-09-10
2016-09-11	2016	201609	20160911	2	2016-09-11
2016-09-12	2016	201609	20160912	0	2016-09-12
2016-09-13	2016	201609	20160913	0	2016-09-13
2016-09-14	2016	201609	20160914	0	2016-09-14
2016-09-15	2016	201609	20160915	0	2016-09-15
2016-09-16	2016	201609	20160916	0	2016-09-16
2016-09-17	2016	201609	20160917	2	2016-09-17
2016-09-18	2016	201609	20160918	2	2016-09-18
2016-09-19	2016	201609	20160919	0	2016-09-19
2016-09-20	2016	201609	20160920	0	2016-09-20
2016-09-21	2016	201609	20160921	0	2016-09-21
2016-09-22	2016	201609	20160922	0	2016-09-22
2016-09-23	2016	201609	20160923	0	2016-09-23
2016-09-24	2016	201609	20160924	2	2016-09-24
2016-09-25	2016	201609	20160925	2	2016-09-25
2016-09-26	2016	201609	20160926	0	2016-09-26
2016-09-27	2016	201609	20160927	0	2016-09-27
2016-09-28	2016	201609	20160928	0	2016-09-28
2016-09-29	2016	201609	20160929	0	2016-09-29
2016-09-30	2016	201609	20160930	0	2016-09-30
2016-10-01	2016	201610	20161001	2	2016-10-01
2016-10-02	2016	201610	20161002	2	2016-10-02
2016-10-03	2016	201610	20161003	0	2016-10-03
2016-10-04	2016	201610	20161004	0	2016-10-04
2016-10-05	2016	201610	20161005	0	2016-10-05
2016-10-06	2016	201610	20161006	0	2016-10-06
2016-10-07	2016	201610	20161007	0	2016-10-07
2016-10-08	2016	201610	20161008	2	2016-10-08
2016-10-09	2016	201610	20161009	2	2016-10-09
2016-10-10	2016	201610	20161010	0	2016-10-10
2016-10-11	2016	201610	20161011	0	2016-10-11
2016-10-12	2016	201610	20161012	0	2016-10-12
2016-10-13	2016	201610	20161013	0	2016-10-13
2016-10-14	2016	201610	20161014	0	2016-10-14
2016-10-15	2016	201610	20161015	2	2016-10-15
2016-10-16	2016	201610	20161016	2	2016-10-16
2016-10-17	2016	201610	20161017	0	2016-10-17
2016-10-18	2016	201610	20161018	0	2016-10-18
2016-10-19	2016	201610	20161019	0	2016-10-19
2016-10-20	2016	201610	20161020	0	2016-10-20
2016-10-21	2016	201610	20161021	0	2016-10-21
2016-10-22	2016	201610	20161022	2	2016-10-22
2016-10-23	2016	201610	20161023	2	2016-10-23
2016-10-24	2016	201610	20161024	0	2016-10-24
